"id","height","weight","gender","age","user_id"
"1",,,,,"1"
"2",,,,,"2"
"3","60_70","120_140","man","20_40","3"
"4",,,,,"4"
"5","60_70","120_140","man","20_40","5"
"6",,,,,"6"
"7","60_70","0_100","man","40_60","7"
"8",,,"man","40_60","8"
"9",,,,,"9"
"10",,,,,"10"
"11","70_1000","140_160","man","20_40","11"
"12",,,,,"12"
"13","70_1000","160_180","man","20_40","13"
"14","60_70","140_160","woman","40_60","14"
"15",,,,,"15"
"16","60_70","120_140","man","20_40","16"
"17","60_70","200+","woman","20_40","17"
"18","60_70","120_140","man","20_40","18"
"19",,,,,"19"
"20",,,,,"20"
"21",,,,,"21"
"22",,,,,"22"
"23",,,,,"23"
"24",,,"man","20_40","24"
"25","70_1000","140_160","man","20_40","25"
